Cause,Slope
COVID-19 (U07.1-U07.2),956.6666666666663
General symptoms and signs (R50-R69),903.4828282828282
Malignant neoplasms  (C00-C97),644.1050505050503
Other forms of heart disease (I30-I52),642.1575757575757
Malaise and fatigue (R53),606.1373737373738
"Organic, including symptomatic, mental disorders (F00-F09)",465.11919191919196
Other bacterial diseases  (A30-A49),464.6787878787879
Chronic kidney disease (N18),397.38585858585856
Other sepsis (A41),395.91919191919186
Renal failure (N17-N19),382.779797979798
